,Accuracy
210,49.59349593495935
211,50.0
212,49.1869918699187
213,49.1869918699187
214,48.78048780487805
215,49.59349593495935
216,49.59349593495935
217,49.1869918699187
218,49.59349593495935
219,49.59349593495935
220,49.1869918699187
221,49.1869918699187
222,49.1869918699187
223,49.1869918699187
224,49.59349593495935
225,49.59349593495935
226,49.1869918699187
227,49.1869918699187
228,49.1869918699187
229,49.59349593495935
230,49.1869918699187
231,49.1869918699187
232,49.1869918699187
233,49.59349593495935
234,49.1869918699187
235,49.59349593495935
236,50.0
237,49.59349593495935
238,50.0
239,49.59349593495935
240,49.59349593495935
241,49.1869918699187
242,49.1869918699187
243,49.59349593495935
244,50.0
245,50.0
246,49.1869918699187
247,50.0
248,50.0
249,49.1869918699187
250,49.59349593495935
251,50.0
252,50.0
253,49.59349593495935
254,50.0
255,49.59349593495935
256,49.59349593495935
257,50.0
258,49.59349593495935
259,49.59349593495935
260,49.59349593495935
261,50.0
262,50.0
263,50.0
264,49.59349593495935
265,49.59349593495935
266,50.0
267,49.59349593495935
268,50.0
269,50.0
270,48.78048780487805
271,26.422764227642276
272,30.48780487804878
273,30.08130081300813
274,37.80487804878049
275,38.21138211382114
276,36.58536585365854
277,42.27642276422764
278,45.52845528455285
279,49.1869918699187
280,46.7479674796748
281,43.49593495934959
282,44.71544715447155
283,42.27642276422764
284,45.1219512195122
285,36.99186991869919
286,40.65040650406504
287,42.27642276422764
288,43.08943089430894
289,47.15447154471545
290,41.05691056910569
291,36.58536585365854
292,38.61788617886179
293,40.65040650406504
294,39.83739837398374
295,43.08943089430894
296,48.78048780487805
297,47.5609756097561
298,47.15447154471545
299,46.7479674796748
